x,y
196,131
196,134
196,136
199,139
201,140
204,140
207,140
209,140
212,140
215,140
217,140
220,140
220,143
220,145
220,148
220,151
220,153
220,156
220,159
220,161
221,164
224,164
226,164
229,164
232,164
234,164
237,164
240,164
242,164
244,163
244,160
244,158
244,155
244,152
244,150
244,147
244,144
244,142
244,139
244,136
244,134
244,131
244,128
244,126
244,123
244,120
244,118
244,115
244,112
244,110
244,107
244,104
244,102
244,99
244,96
244,94
241,92
239,92
236,92
233,92
231,92
228,92
225,92
223,92
220,92
220,95
220,97
220,100
220,103
220,105
220,108
220,111
219,113
216,116
214,116
211,116
208,116
206,116
203,116
200,116
199,116
196,130
196,133
196,139
196,142
196,144
196,147
196,150
196,152
196,155
196,158
196,160
196,163
196,166
194,165
191,164
189,164
186,164
183,164
181,164
178,164
175,164
173,164
172,165
172,168
172,170
172,173
172,176
172,178
172,181
172,184
172,186
172,189
172,192
172,194
172,197
172,200
172,202
172,205
172,208
172,210
172,212
173,212
176,212
178,212
181,212
184,212
186,212
189,212
192,212
194,212
196,212
196,209
196,207
196,204
196,201
196,199
196,196
196,193
196,191
196,188
196,185
196,183
196,180
196,177
196,175
196,172
196,169
196,167
196,170
196,173
196,176
196,179
196,182
198,188
200,188
203,188
206,188
208,188
211,188
214,188
216,188
219,188
222,188
224,188
227,188
230,188
232,188
235,188
238,188
240,188
243,185
244,183
244,180
244,177
244,175
244,172
244,169
244,166
244,178
244,181
244,184
244,187
244,190
244,192
244,195
244,198
244,200
244,203
244,206
244,208
244,211
244,214
244,216
244,219
244,222
244,224
244,227
244,228
242,228
239,228
237,228
234,228
231,228
228,228
224,228
222,228
219,228
215,228
213,228
210,228
207,228
204,228
201,228
198,228
196,228
196,226
196,223
196,220
196,217
196,213
196,210
196,203
196,200
196,190
196,186
196,189
196,206
194,210
191,212
188,212
177,212
174,212
171,212
167,212
165,212
162,212
161,212
160,212
158,212
154,212
151,212
149,212
145,212
143,212
140,212
136,212
134,212
131,212
127,212
125,212
122,212
119,212
116,212
113,212
111,212
107,212
104,212
102,212
98,212
95,212
93,212
89,212
87,212
84,212
80,212
78,212
75,212
71,212
69,212
66,212
63,212
60,212
57,212
54,212
51,212
48,212
45,210
44,207
44,205
44,201
44,199
44,196
44,192
45,190
48,188
51,188
54,188
56,188
60,188
63,188
65,188
69,188
72,188
74,186
76,183
76,180
76,177
76,175
76,171
76,168
76,166
76,162
76,159
76,157
76,153
76,151
76,149
76,146
76,143
74,141
71,140
69,140
66,140
63,140
61,140
58,140
55,140
53,140
50,140
47,140
45,142
44,144
44,147
44,150
44,152
44,155
44,158
44,160
44,163
44,166
44,168
44,171
44,174
44,176
44,179
44,182
43,185
40,188
38,188
35,188
32,188
30,188
27,188
24,188
22,189
20,192
20,194
20,197
20,200
20,202
20,205
20,208
20,210
20,213
20,216
20,218
20,221
20,224
22,226
24,228
26,228
29,228
32,228
35,228
38,228
40,228
44,224
44,222
44,219
44,215
44,212
44,209
44,202
44,195
44,188
44,185
44,178
44,175
44,172
42,165
39,164
36,164
33,164
31,164
27,164
24,164
22,163
20,159
20,157
20,154
20,151
20,148
20,145
20,142
20,139
20,136
20,133
20,130
20,127
20,124
20,121
20,119
20,116
20,113
20,111
20,107
20,104
20,102
20,98
20,95
20,93
20,92
22,92
24,92
27,92
30,92
32,92
36,92
39,92
41,92
44,92
44,94
44,96
44,100
44,103
44,105
44,109
44,112
44,114
44,118
44,120
44,123
44,127
44,129
44,132
44,136
44,137
44,133
44,130
44,117
48,116
50,116
53,116
56,116
59,116
62,116
65,116
68,116
71,116
72,116
75,113
76,110
76,107
76,104
76,101
76,98
76,95
76,92
76,89
76,87
76,83
76,80
76,78
76,74
76,71
76,69
72,68
70,68
67,68
64,68
62,68
59,68
56,68
54,68
51,68
48,68
46,69
44,72
44,74
44,77
44,80
44,82
44,85
44,86
44,83
44,71
41,68
39,68
36,68
33,68
31,68
28,68
25,68
23,68
20,65
20,63
20,60
20,57
20,55
20,52
20,49
20,47
20,44
20,41
20,39
20,36
20,33
20,31
23,28
24,28
25,28
29,28
32,28
34,28
38,28
40,28
43,28
44,32
44,34
44,37
44,40
44,43
44,46
44,49
44,52
44,55
44,58
44,61
44,64
44,60
44,57
44,53
44,50
44,47
45,42
48,44
51,44
54,44
56,44
60,44
63,44
65,44
69,44
72,44
74,44
78,44
80,44
83,44
87,44
89,44
92,44
96,44
98,44
101,44
104,44
107,44
110,44
113,44
116,44
119,44
122,44
125,44
128,44
131,44
134,44
136,44
140,44
143,44
145,44
149,44
152,44
154,44
158,44
160,44
163,44
167,44
169,44
172,44
172,46
172,48
172,51
172,55
172,57
172,60
172,64
172,66
172,69
172,72
172,75
172,78
172,80
172,84
172,87
172,89
172,93
173,94
176,92
179,92
182,92
184,92
188,92
191,92
193,92
196,92
196,95
196,97
196,101
196,104
196,106
196,110
196,113
196,117
196,116
196,109
196,103
196,99
196,96
196,89
196,87
196,83
196,80
196,78
196,74
196,71
196,69
196,66
196,63
196,61
196,58
196,55
196,53
196,50
196,47
194,45
191,44
189,44
186,44
183,44
181,44
178,44
175,44
184,44
187,44
190,44
193,44
196,44
196,56
196,59
196,62
196,65
199,68
201,68
204,68
207,68
209,68
212,68
215,68
217,68
220,68
223,68
225,68
228,68
231,68
233,68
236,68
239,68
241,67
244,64
244,62
244,59
244,56
244,54
244,51
244,48
244,46
244,43
244,40
244,38
244,35
244,32
243,30
240,28
238,28
235,28
232,28
231,28
229,28
226,28
223,28
220,28
217,28
214,28
211,28
208,28
205,28
202,28
199,28
196,28
196,31
196,34
196,37
196,40
196,48
196,52
197,65
211,68
214,68
221,68
224,68
234,68
238,68
241,69
244,72
244,75
244,78
244,80
148,8
196,140
196,143
196,145
196,149
196,154
196,178
196,181
196,184
196,187
196,202
196,205
196,208
196,211
196,214
196,216
196,225
196,137
196,141
196,148
196,151
196,161
196,164
196,168
196,171
196,195
196,198
196,215
196,218
196,222
148,0
148,2
148,5
148,11
148,14
148,17
148,20
148,23
148,26
148,29
148,32
148,35
148,38
148,41
148,44
148,47
148,50
148,53
148,56
148,59
148,62
