x,y
196,128
196,131
196,134
196,136
196,139
196,142
196,144
196,147
196,150
196,152
196,155
196,158
196,160
193,163
191,164
188,164
185,164
183,164
180,164
177,164
175,164
172,164
172,161
172,158
172,155
172,152
172,149
172,146
172,143
172,140
169,140
166,140
163,140
160,140
157,140
154,140
151,140
148,140
148,141
148,144
148,147
148,150
148,153
148,156
148,159
148,162
148,164
145,164
142,164
139,164
136,164
133,164
130,164
127,164
124,167
124,170
124,173
124,176
124,179
124,182
124,185
124,188
127,188
130,188
133,188
136,188
139,188
142,188
145,188
148,188
148,191
148,194
148,197
148,200
148,203
148,206
148,208
148,211
148,214
148,205
148,202
148,199
148,196
148,193
148,190
146,188
143,188
140,188
137,188
134,188
131,188
128,188
125,187
124,184
124,181
124,178
124,175
124,172
124,169
124,166
123,164
120,164
117,164
114,164
111,164
108,164
105,164
102,164
100,166
100,169
100,172
100,175
100,178
100,181
100,184
100,187
100,190
100,193
100,196
100,199
100,202
100,205
100,206
100,203
100,200
100,197
100,194
100,191
100,188
100,185
100,182
100,179
100,176
100,173
100,170
100,167
100,164
100,161
100,158
100,155
100,152
100,149
100,146
100,143
100,140
100,137
100,134
100,131
100,128
100,127
100,130
100,133
100,136
100,139
100,142
100,145
100,148
100,151
100,154
100,157
100,160
100,163
100,208
100,210
100,212
97,212
95,212
92,212
89,212
87,212
84,212
81,212
79,212
76,215
76,218
76,221
76,224
76,227
76,230
76,233
76,236
76,239
76,242
76,245
76,248
76,251
76,254
76,1
76,4
76,7
76,10
76,13
76,16
76,19
76,22
76,25
76,28
76,31
76,34
76,37
76,40
78,42
80,44
83,44
86,44
88,44
91,44
94,44
96,44
99,47
100,50
100,53
100,56
100,59
100,62
100,65
100,68
100,71
100,74
100,77
100,80
100,83
100,86
100,89
100,92
100,95
100,98
100,101
100,104
100,107
100,110
100,113
100,116
100,119
100,122
100,121
100,118
100,115
100,112
100,109
100,106
100,103
100,100
100,97
100,94
100,91
103,92
106,92
109,92
112,92
115,92
118,92
121,92
124,92
127,92
130,92
133,92
136,92
139,92
142,92
146,92
148,94
148,97
148,100
148,103
148,106
148,109
148,112
151,115
154,116
157,116
160,116
163,116
166,116
169,116
172,116
172,114
172,111
172,108
172,105
172,102
172,99
172,96
172,94
172,91
172,88
172,86
172,83
172,80
172,78
172,75
172,72
172,70
172,67
172,64
172,62
172,59
172,56
172,54
172,51
172,48
172,45
172,47
196,130
196,133
196,145
196,148
196,151
196,154
196,157
190,164
187,164
184,164
181,164
178,164
148,137
148,134
148,131
148,128
148,125
148,122
148,119
151,116
169,115
172,112
172,109
172,106
172,103
172,100
172,97
172,85
172,82
172,79
172,76
172,73
148,113
148,110
148,107
148,104
148,101
148,98
148,95
147,92
144,92
141,92
138,92
135,92
132,92
129,92
126,91
124,88
124,85
124,82
124,79
124,76
124,73
124,70
125,68
128,68
131,68
134,68
137,68
140,68
143,68
146,68
148,68
124,71
124,74
124,77
124,80
124,83
124,86
124,89
100,90
100,87
100,84
100,81
100,78
100,75
100,72
100,69
100,66
100,63
100,60
100,57
100,93
100,96
100,99
100,102
100,105
100,108
100,111
100,114
100,117
100,120
100,123
100,47
97,44
85,44
82,44
79,44
76,44
76,42
76,39
76,36
76,33
76,30
76,27
76,24
76,21
76,18
76,15
76,12
76,9
76,6
76,3
76,0
76,253
76,250
76,247
76,244
76,241
76,238
76,235
76,232
76,229
76,226
76,223
76,220
76,217
77,214
80,212
83,212
86,212
98,212
101,212
104,212
106,212
109,212
